id_cliente;cliente;tipo_cliente
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7463477920;Instrutor;b2b
7441337631;Anderson;b2c
7464908997;Joao;b2c
7464908997;Joao;b2c
7464908997;Joao;b2c
7464908997;Joao;b2c
7110336047;FABIANO;b2c
7465379850;Wesney;b2c
7465379850;Wesney;b2c
7465379850;Wesney;b2c
7465379850;Wesney;b2c
7466066401;Carlos;b2c
7466383431;Jose;b2c
7466383431;Jose;b2c
7466383431;Jose;b2c
7467217916;Cassio;b2c
7467217916;Cassio;b2c
7467217916;Cassio;b2c
7467217916;Cassio;b2c
7467217916;Cassio;b2c
7473055880;Márcio;b2c
7473055880;Márcio;b2c
7488333963;Rafael;b2c
7488333963;Rafael;b2c
7488333963;Rafael;b2c
7488333963;Rafael;b2c
7472347086;Lucas;b2c
7472347086;Lucas;b2c
7472347086;Lucas;b2c
7117659441;Fábio;b2c
7117659441;Fábio;b2c
7117659441;Fábio;b2c
7474338299;Celso;b2c
7439425089;Mateus;b2c
7439425089;Mateus;b2c
7439425089;Mateus;b2c
7048364988;Igor;b2c
7477427304;Mauro;b2c
7477427304;Mauro;b2c
7477427304;Mauro;b2c
7488333997;Nicolau;b2c
7488334056;Thiago;b2c
7488334056;Thiago;b2c
7488334056;Thiago;b2c
7488334056;Thiago;b2c
7488334056;Thiago;b2c
7488334056;Thiago;b2c
7488334056;Thiago;b2c
7488334056;Thiago;b2c
6958493515;Luis;b2c
6958493515;Luis;b2c
6958493515;Luis;b2c
7488334154;Joao;b2c
7515682660;Fabricio;b2c
7488334191;Paulo;b2c
7488334191;Paulo;b2c
7488334191;Paulo;b2c
7488334191;Paulo;b2c
7488334191;Paulo;b2c
7488334191;Paulo;b2c
7488334191;Paulo;b2c
7495455736;Herminio;b2c
7495455736;Herminio;b2c
7495455736;Herminio;b2c
7495455736;Herminio;b2c
7495455736;Herminio;b2c
7495455736;Herminio;b2c
7495455736;Herminio;b2c
7495455785;Rafael;b2c
7495455785;Rafael;b2c
7495455785;Rafael;b2c
7495455785;Rafael;b2c
7488334254;Maiara;b2c
7488334254;Maiara;b2c
7488334254;Maiara;b2c
7488334254;Maiara;b2c
7488334254;Maiara;b2c
7488334254;Maiara;b2c
7488334304;Paulo;b2c
7488334304;Paulo;b2c
7488334304;Paulo;b2c
7488334304;Paulo;b2c
7515682679;Jean;b2c
7486711253;Marcio;b2c
7269904820;Lucas;b2c
6862551796;Andre;b2c
6924412706;Vinicius;b2c
7488027978;Iasmin;b2c
7488334363;Marcelo;b2c
7319793468;LUIZ;b2c
7117659441;Fábio;b2c
7117659441;Fábio;b2c
7117659441;Fábio;b2c
7117659441;Fábio;b2c
7491415136;Thiago;b2c
7491593433;Fabio;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7495455821;Salomao;b2c
7498509860;Rodrigo;b2c
7498509860;Rodrigo;b2c
7500826877;Renan;b2c
7488333963;Rafael;b2c
7501211503;Henrique;b2c
7501211503;Henrique;b2c
7501211503;Henrique;b2c
7501211503;Henrique;b2c
7501211503;Henrique;b2c
7501167880;Tobias;b2c
7501167880;Tobias;b2c
7501764852;Zenvia;b2b
7505639814;Fabio;b2c
7505639814;Fabio;b2c
7505639814;Fabio;b2c
7506820272;prosumir;b2b
7506820272;prosumir;b2b
7506820272;prosumir;b2b
7507037923;Mauro;b2c
7274266280;Joao;b2c
7274266280;Joao;b2c
7274266280;Joao;b2c
6931189846;victor;b2c
6931189846;victor;b2c
7509477453;Danilo;b2c
7509477453;Danilo;b2c
7509477453;Danilo;b2c
7509477453;Danilo;b2c
7509477453;Danilo;b2c
7509477453;Danilo;b2c
7509477453;Danilo;b2c
7509477453;Danilo;b2c
7509998434;Alex;b2c
7509998434;Alex;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682687;Fabricio;b2c
7515682715;Paulo;b2c
7515682715;Paulo;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7515717489;Ana;b2c
7517249138;Gabriel;b2c
7527260123;Ricardo;b2c
7527260123;Ricardo;b2c
7527260123;Ricardo;b2c
6913023900;Roberto;b2c
6913023900;Roberto;b2c
7525186101;Telmo;b2c
7525095706;Marcus;b2c
7525496740;Paulo;b2c
7544999728;Carolina;b2c
6961181831;Larissa;b2c
6961181831;Larissa;b2c
6961181831;Larissa;b2c
6961181831;Larissa;b2c
6961181831;Larissa;b2c
7531858650;Daniel;b2c
7531858650;Daniel;b2c
7531872289;BUMP;b2b
7531872289;BUMP;b2b
7531899158;DEBORAH;b2b
7531899158;DEBORAH;b2b
7531899158;DEBORAH;b2b
7531932052;Industria;b2b
7505639814;Fabio;b2c
7544999757;Caio;b2c
7544999757;Caio;b2c
7544999757;Caio;b2c
7535344082;Jefter;b2c
7535344082;Jefter;b2c
7553958998;Nicolyn;b2c
7553958998;Nicolyn;b2c
6862551796;Andre;b2c
7538269353;leandro;b2c
7538269353;leandro;b2c
7539951747;Maicon;b2c
7539951747;Maicon;b2c
7539951747;Maicon;b2c
7539951747;Maicon;b2c
7539951747;Maicon;b2c
7540461695;Nicolas;b2b
7540980937;Luciano;b2c
7540980937;Luciano;b2c
7540980937;Luciano;b2c
7540980937;Luciano;b2c
7540980937;Luciano;b2c
7540980937;Luciano;b2c
7547797500;Jairo;b2c
7547797500;Jairo;b2c
7553959017;Juliano;b2c
7553959017;Juliano;b2c
7553959017;Juliano;b2c
7553959017;Juliano;b2c
7553959017;Juliano;b2c
7553959039;Sergio;b2c
7553959039;Sergio;b2c
7556112062;Roberto;b2c
7556112062;Roberto;b2c
7556112062;Roberto;b2c
7557069264;Caio;b2c
6924412706;Vinicius;b2c
7558580832;Marcello;b2c
7561514274;Mouzart;b2c
7561514274;Mouzart;b2c
7561514274;Mouzart;b2c
7569934212;Henrique;b2c
7569934223;Eber;b2c
7569934223;Eber;b2c
7569934223;Eber;b2c
7569934223;Eber;b2c
7569934223;Eber;b2c
6861604282;Leonardo;b2c
6861604282;Leonardo;b2c
6961181831;Larissa;b2c
7505639814;Fabio;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7566240495;Patricia;b2c
7566240495;Patricia;b2c
7566129061;Lucas;b2c
7566129061;Lucas;b2c
7586504763;Andre;b2c
7586504812;Arizio;b2c
7586504825;Jose;b2c
7586504885;Heitor;b2c
7586504885;Heitor;b2c
7586504885;Heitor;b2c
7586504972;Carlos;b2c
7586504972;Carlos;b2c
7586504972;Carlos;b2c
7586504972;Carlos;b2c
7586504972;Carlos;b2c
7586504972;Carlos;b2c
7586504972;Carlos;b2c
7586504972;Carlos;b2c
7586505085;Italo;b2c
7586505085;Italo;b2c
7446161326;Wallysson;b2c
7446161326;Wallysson;b2c
7446161326;Wallysson;b2c
7446161326;Wallysson;b2c
7446161326;Wallysson;b2c
7446161326;Wallysson;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
7594094019;Victor;b2c
