id_regiao;nome_estado;nome_regiao
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-025;RO;norte
E-025;RO;norte
E-025;RO;norte
E-025;RO;norte
E-011;DF;centro-oeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-012;AL;nordeste
E-012;AL;nordeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-002;SC;sul
E-002;SC;sul
E-011;DF;centro-oeste
E-004;SP;sudeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-001;RS;sul
E-003;PR;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-003;PR;sul
E-003;PR;sul
E-001;RS;sul
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-002;SC;sul
E-009;MT;centro-oeste
E-004;SP;sudeste
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-003;PR;sul
E-002;SC;sul
E-002;SC;sul
E-004;SP;sudeste
E-013;BA;nordeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-025;RO;norte
E-025;RO;norte
E-025;RO;norte
E-025;RO;norte
E-025;RO;norte
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-005;MG;sudeste
E-005;MG;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-003;PR;sul
E-001;RS;sul
E-007;RJ;sudeste
E-001;RS;sul
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-022;AM;norte
E-001;RS;sul
E-002;SC;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-010;GO;centro-oeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-001;RS;sul
E-001;RS;sul
E-002;SC;sul
E-002;SC;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-012;AL;nordeste
E-012;AL;nordeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-005;MG;sudeste
E-005;MG;sudeste
E-025;RO;norte
E-025;RO;norte
E-025;RO;norte
E-025;RO;norte
E-004;SP;sudeste
E-001;RS;sul
E-012;AL;nordeste
E-012;AL;nordeste
E-012;AL;nordeste
E-012;AL;nordeste
E-012;AL;nordeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-002;SC;sul
E-002;SC;sul
E-001;RS;sul
E-001;RS;sul
E-005;MG;sudeste
E-005;MG;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-014;CE;nordeste
E-014;CE;nordeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-007;RJ;sudeste
E-003;PR;sul
E-009;MT;centro-oeste
E-001;RS;sul
E-007;RJ;sudeste
E-007;RJ;sudeste
E-001;RS;sul
E-007;RJ;sudeste
E-007;RJ;sudeste
E-013;BA;nordeste
E-013;BA;nordeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
