id_produto;id_cliente;id_regiao;nr_pedido;data_compra;quantidade;unit_venda
6811361394;8864843661;E-005;1655;19/07/2020;1;13,49
6811357923;8864843661;E-005;1655;19/07/2020;1;13,49
6811357206;8864843661;E-005;1655;19/07/2020;1;13,49
6811361462;8864843661;E-005;1655;19/07/2020;1;13,49
6811364861;8864843694;E-001;1656;19/07/2020;1;19,2
6811364931;8864843694;E-001;1656;19/07/2020;1;21,49
6811365453;8904407948;E-007;1684;19/07/2020;1;15,49
6811360057;8808605278;E-004;1635;20/07/2020;2;10
6811360057;8808605278;E-004;1635;20/07/2020;2;10
6811360057;8808605278;E-004;1635;20/07/2020;2;10
6811360057;8808605278;E-004;1635;20/07/2020;2;10
6811364915;8850142646;E-004;1646;20/07/2020;1;21,49
8149224696;8850142646;E-004;1646;20/07/2020;1;15,49
6811365543;8850142646;E-004;1646;20/07/2020;1;15,49
6811354784;8850142646;E-004;1646;20/07/2020;1;15,49
6811357620;8850142646;E-004;1646;20/07/2020;2;15,6
6811364867;8853828074;E-004;1647;20/07/2020;1;19,2
6811354786;8853828074;E-004;1647;20/07/2020;1;15,49
6811364906;8853828074;E-004;1647;20/07/2020;1;21,49
6811357803;8853828074;E-004;1647;20/07/2020;1;15,49
6811360057;8853828074;E-004;1647;20/07/2020;1;15,49
6861667593;8853828074;E-004;1647;20/07/2020;1;11,6
7898708915;8858816629;E-007;1650;20/07/2020;10;22
8746484882;8859022041;E-007;1651;20/07/2020;20;16
6811356928;8864843746;E-011;1657;20/07/2020;1;15,49
6811358540;8864843746;E-011;1657;20/07/2020;1;15,49
6811360057;8864843746;E-011;1657;20/07/2020;1;15,49
6811362736;8864843797;E-004;1658;20/07/2020;1;11,49
6811353792;8864843797;E-004;1658;20/07/2020;1;15,49
6811358332;8864843797;E-004;1658;20/07/2020;1;15,49
6811360057;8864843822;E-011;1659;20/07/2020;1;15,49
6811360057;8864843855;E-001;1660;20/07/2020;2;15,49
6811360057;8864843855;E-001;1660;20/07/2020;2;15,49
8864888074;8864843855;E-001;1660;20/07/2020;1;89,9
6861667593;8862567918;E-001;1652;21/07/2020;2;15,49
6811353616;6859778511;E-001;1663;21/07/2020;1;17,49
6811356005;6859778511;E-001;1663;21/07/2020;1;17,49
6811355980;8864843855;E-001;1665;21/07/2020;1;15,49
6923617694;8874057616;E-001;1666;21/07/2020;16;18
6811358343;8876680065;E-011;1667;21/07/2020;1;13,49
6811356928;8876680065;E-011;1667;21/07/2020;1;13,49
6811365429;8876680065;E-011;1667;21/07/2020;2;18,49
6811358747;8877915839;E-011;1669;21/07/2020;1;15,49
6811356928;8877915839;E-011;1669;21/07/2020;1;15,49
6811356900;8877915839;E-011;1669;21/07/2020;1;15,49
6811360057;8877915839;E-011;1669;21/07/2020;1;15,49
6811360057;8877915839;E-011;1669;21/07/2020;1;15,49
6811359326;8878056078;E-013;1670;21/07/2020;1;15,49
6811357882;8878056078;E-013;1670;21/07/2020;1;15,49
6811357880;8878056078;E-013;1670;21/07/2020;1;15,49
6811354611;8878056078;E-013;1670;21/07/2020;1;15,49
6811354611;8878056078;E-013;1670;21/07/2020;1;13,49
6811357099;8878056078;E-013;1670;21/07/2020;1;15,49
6811353894;8878056078;E-013;1670;21/07/2020;1;15,49
6811353873;8878056078;E-013;1670;21/07/2020;1;15,49
6811353864;8878056078;E-013;1670;21/07/2020;1;15,49
6811354029;8878056078;E-013;1670;21/07/2020;1;15,49
6811356062;8878056078;E-013;1670;21/07/2020;1;15,49
6811358525;8878056078;E-013;1670;21/07/2020;1;15,49
6811356005;8878056078;E-013;1670;21/07/2020;1;15,5
6811356705;8878056078;E-013;1670;21/07/2020;1;15,49
8878064705;8878056078;E-013;1670;21/07/2020;1;15,49
8878064709;8878056078;E-013;1670;21/07/2020;1;15,49
6811356044;8878056078;E-013;1670;21/07/2020;1;15,49
6811353616;8878056078;E-013;1670;21/07/2020;1;15,49
6811360065;8853828074;E-004;1668;22/07/2020;1;15,49
6861667593;8853828074;E-004;1668;22/07/2020;1;15,49
6811358773;8824007380;E-005;1671;22/07/2020;1;12
